TIME,Index,BTC,ETH,ADA,XLM,MIOTA,XMR,XRP,BCH,LTC,NEO,DASH,XEM,ETC
4/28/2013,135.3,135.3,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,4.3,0.181483,0.213899,0.0004,0.752345
4/29/2013,134.44,134.44,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,4.37,0.181483,0.213899,0.0004,0.752345
4/30/2013,144,144,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,4.4,0.181483,0.213899,0.0004,0.752345
5/1/2013,139,139,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,4.29,0.181483,0.213899,0.0004,0.752345
5/2/2013,116.38,116.38,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.78,0.181483,0.213899,0.0004,0.752345
5/3/2013,106.25,106.25,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.39,0.181483,0.213899,0.0004,0.752345
5/4/2013,98.1,98.1,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.03,0.181483,0.213899,0.0004,0.752345
5/5/2013,112.9,112.9,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.49,0.181483,0.213899,0.0004,0.752345
5/6/2013,115.98,115.98,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.59,0.181483,0.213899,0.0004,0.752345
5/7/2013,112.25,112.25,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.37,0.181483,0.213899,0.0004,0.752345
5/8/2013,109.6,109.6,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.28,0.181483,0.213899,0.0004,0.752345
5/9/2013,113.2,113.2,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.4,0.181483,0.213899,0.0004,0.752345
5/10/2013,112.8,112.8,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.41,0.181483,0.213899,0.0004,0.752345
5/11/2013,117.7,117.7,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.46,0.181483,0.213899,0.0004,0.752345
5/12/2013,115.64,115.64,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.36,0.181483,0.213899,0.0004,0.752345
5/13/2013,114.82,114.82,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.26,0.181483,0.213899,0.0004,0.752345
5/14/2013,117.98,117.98,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.28,0.181483,0.213899,0.0004,0.752345
5/15/2013,111.4,111.4,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,2.82,0.181483,0.213899,0.0004,0.752345
5/16/2013,114.22,114.22,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,2.93,0.181483,0.213899,0.0004,0.752345
5/17/2013,118.21,118.21,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,2.89,0.181483,0.213899,0.0004,0.752345
5/18/2013,123.5,123.5,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.2,0.181483,0.213899,0.0004,0.752345
5/19/2013,123.21,123.21,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.3,0.181483,0.213899,0.0004,0.752345
5/20/2013,122.5,122.5,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.31,0.181483,0.213899,0.0004,0.752345
5/21/2013,122.02,122.02,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.19,0.181483,0.213899,0.0004,0.752345
5/22/2013,122.89,122.89,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.09,0.181483,0.213899,0.0004,0.752345
5/23/2013,123.8,123.8,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.12,0.181483,0.213899,0.0004,0.752345
5/24/2013,126.3,126.3,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.17,0.181483,0.213899,0.0004,0.752345
5/25/2013,133.1,133.1,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.19,0.181483,0.213899,0.0004,0.752345
5/26/2013,131.99,131.99,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.12,0.181483,0.213899,0.0004,0.752345
5/27/2013,133.5,133.5,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.23,0.181483,0.213899,0.0004,0.752345
5/28/2013,129.77,129.77,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.1,0.181483,0.213899,0.0004,0.752345
5/29/2013,129,129,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.09,0.181483,0.213899,0.0004,0.752345
5/30/2013,132.25,132.25,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,3.08,0.181483,0.213899,0.0004,0.752345
5/31/2013,128.8,128.8,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,2.97,0.181483,0.213899,0.0004,0.752345
6/1/2013,128.81,128.81,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,2.94,0.181483,0.213899,0.0004,0.752345
6/2/2013,129.3,129.3,2.83,0.021678,0.002976,0.638503,2.47,0.005874,555.89,2.83,0.181483,0.213899,0.0004,0.752345
